report_date,operation_day,total_day,region,market,market_type,team,sales_rep,total_inflow,retained_users,read_users_today,conversation_users_today,reply_users_today,deep_reply_users_today,follow_up_actions_today,new_accounts_today,total_accounts,paying_users_today,total_paying_users,revenue_today,total_revenue,refund_today,total_refund,net_revenue,team_marketing_cost
2026-01-01,1,40,east,Mexico,developing,Team A,Cathy,419,418,295,213,184,123,105,10,10,4,4,1027.77,1027.77,67.04,67.04,960.73,35000
2026-01-01,1,40,east,Mexico,developing,Team A,Alice,300,298,216,175,147,83,63,3,3,1,1,246.43,246.43,12.65,12.65,233.78,35000
2026-01-01,1,40,east,Mexico,developing,Team B,Ben,316,315,225,166,133,86,56,6,6,1,1,152.5,152.5,16.43,16.43,136.07,35000
2026-01-01,1,40,east,Mexico,developing,Team B,David,391,390,280,197,175,123,73,7,7,3,3,496.57,496.57,20.2,20.2,476.37,35000
2026-01-01,1,40,east,Mexico,developing,Team C,Emma,326,324,226,165,142,97,81,3,3,1,1,218.46,218.46,11.58,11.58,206.88,35000
2026-01-01,1,40,east,Mexico,developing,Team C,Frank,397,396,270,217,170,111,97,5,5,1,1,258.56,258.56,28.54,28.54,230.02,35000
2026-01-01,1,40,east,Mexico,developing,Team D,Grace,295,295,183,160,133,68,55,6,6,3,3,390.52,390.52,46.57,46.57,343.95,35000
2026-01-01,1,40,east,Mexico,developing,Team D,Henry,304,302,189,134,105,77,54,5,5,2,2,366.42,366.42,32.57,32.57,333.85,35000
2026-01-01,1,40,east,Mexico,developing,Team E,Ivy,364,364,262,209,161,86,67,10,10,4,4,482.14,482.14,16.18,16.18,465.96,35000
2026-01-01,1,40,east,Mexico,developing,Team E,Jack,291,289,212,190,152,89,65,3,3,0,0,0.0,0.0,0.0,0.0,0.0,35000
2026-01-01,1,40,east,Mexico,developing,Team F,Kelly,413,413,295,260,208,138,99,8,8,3,3,627.85,627.85,22.29,22.29,605.56,35000
