report_date,operation_day,total_day,region,market,market_type,team,sales_rep,total_inflow,retained_users,read_users_today,conversation_users_today,reply_users_today,deep_reply_users_today,follow_up_actions_today,new_accounts_today,total_accounts,paying_users_today,total_paying_users,revenue_today,total_revenue,refund_today,total_refund,net_revenue,team_marketing_cost
2026-01-01,1,55,west,Brazil,developing,Team A,Mason,468,467,331,292,204,121,82,10,10,4,4,1177.85,1177.85,103.43,103.43,1074.42,45000
2026-01-01,1,55,west,Brazil,developing,Team A,Nora,371,370,237,189,155,108,84,6,6,1,1,294.4,294.4,15.18,15.18,279.22,45000
2026-01-01,1,55,west,Brazil,developing,Team B,Oscar,388,386,233,163,123,78,54,5,5,2,2,483.9,483.9,27.55,27.55,456.35,45000
2026-01-01,1,55,west,Brazil,developing,Team B,Penny,341,341,243,185,129,73,59,8,8,4,4,714.68,714.68,24.46,24.46,690.22,45000
2026-01-01,1,55,west,Brazil,developing,Team C,Quinn,419,418,256,186,166,97,64,10,10,3,3,685.44,685.44,67.62,67.62,617.82,45000
2026-01-01,1,55,west,Brazil,developing,Team C,Ruby,480,480,318,268,188,105,82,10,10,3,3,561.24,561.24,52.74,52.74,508.5,45000
2026-01-01,1,55,west,Brazil,developing,Team D,Sam,391,390,246,208,186,94,61,5,5,1,1,204.15,204.15,4.98,4.98,199.17,45000
2026-01-01,1,55,west,Brazil,developing,Team D,Tina,343,342,207,182,149,106,87,4,4,2,2,434.75,434.75,10.64,10.64,424.11,45000
2026-01-01,1,55,west,Brazil,developing,Team E,Uri,335,335,203,165,124,76,67,5,5,2,2,553.58,553.58,42.2,42.2,511.38,45000
2026-01-01,1,55,west,Brazil,developing,Team E,Vera,410,409,245,193,155,96,82,8,8,4,4,696.2,696.2,39.57,39.57,656.63,45000
2026-01-02,2,56,west,Brazil,developing,Team A,Mason,468,467,302,228,171,123,107,11,21,5,9,1119.93,2297.78,115.8,219.23,2078.55,45000
2026-01-02,2,56,west,Brazil,developing,Team A,Nora,371,369,225,199,178,132,102,10,16,2,3,359.82,654.22,14.74,29.92,624.3,45000
2026-01-02,2,56,west,Brazil,developing,Team B,Oscar,388,385,254,208,153,106,88,5,10,2,4,477.38,961.28,41.5,69.05,892.23,45000
2026-01-02,2,56,west,Brazil,developing,Team B,Penny,341,340,214,191,154,112,70,3,11,0,4,0.0,714.68,0.0,24.46,690.22,45000
2026-01-02,2,56,west,Brazil,developing,Team C,Quinn,419,417,311,261,225,131,113,5,15,2,5,522.07,1207.51,36.06,103.68,1103.83,45000
2026-01-02,2,56,west,Brazil,developing,Team C,Ruby,480,478,320,284,241,124,82,11,21,5,8,1152.83,1714.07,29.78,82.52,1631.55,45000
2026-01-02,2,56,west,Brazil,developing,Team D,Sam,391,390,278,214,182,110,70,8,13,4,5,793.13,997.28,90.84,95.82,901.46,45000
2026-01-02,2,56,west,Brazil,developing,Team D,Tina,343,342,211,163,124,93,68,3,7,0,2,0.0,434.75,0.0,10.64,424.11,45000
2026-01-02,2,56,west,Brazil,developing,Team E,Uri,335,334,224,198,148,107,89,6,11,1,3,275.06,828.64,25.23,67.43,761.21,45000
2026-01-02,2,56,west,Brazil,developing,Team E,Vera,410,407,280,214,157,93,77,10,18,2,6,412.97,1109.17,18.26,57.83,1051.34,45000
2026-01-03,3,57,west,Brazil,developing,Team A,Mason,468,466,342,284,217,135,115,8,29,2,11,394.58,2692.36,24.12,243.35,2449.01,45000
2026-01-03,3,57,west,Brazil,developing,Team A,Nora,371,368,269,241,177,128,88,6,22,1,4,257.71,911.93,25.4,55.32,856.61,45000
2026-01-03,3,57,west,Brazil,developing,Team B,Oscar,388,385,253,192,139,73,56,10,20,2,6,500.58,1461.86,58.49,127.54,1334.32,45000
2026-01-03,3,57,west,Brazil,developing,Team B,Penny,341,340,239,184,156,99,72,8,19,4,8,850.94,1565.62,56.99,81.45,1484.17,45000
2026-01-03,3,57,west,Brazil,developing,Team C,Quinn,419,416,254,203,178,108,70,10,25,3,8,653.43,1860.94,42.63,146.31,1714.63,45000
2026-01-03,3,57,west,Brazil,developing,Team C,Ruby,480,478,308,217,192,116,97,10,31,4,12,976.59,2690.66,29.88,112.4,2578.26,45000
2026-01-03,3,57,west,Brazil,developing,Team D,Sam,391,389,256,182,139,98,76,6,19,3,8,886.53,1883.81,46.35,142.17,1741.64,45000
2026-01-03,3,57,west,Brazil,developing,Team D,Tina,343,340,233,184,161,105,81,7,14,3,5,614.13,1048.88,23.26,33.9,1014.98,45000
2026-01-03,3,57,west,Brazil,developing,Team E,Uri,335,333,217,170,127,63,52,3,14,1,4,144.95,973.59,4.76,72.19,901.4,45000
2026-01-03,3,57,west,Brazil,developing,Team E,Vera,410,406,265,187,156,83,51,9,27,2,8,362.22,1471.39,37.77,95.6,1375.79,45000
2026-01-04,4,58,west,Brazil,developing,Team A,Mason,468,465,313,252,197,101,80,9,38,4,15,988.06,3680.42,42.1,285.45,3394.97,45000
2026-01-04,4,58,west,Brazil,developing,Team A,Nora,371,368,252,188,145,87,69,6,28,3,7,736.73,1648.66,76.1,131.42,1517.24,45000
2026-01-04,4,58,west,Brazil,developing,Team B,Oscar,388,385,243,196,139,88,69,7,27,2,8,511.72,1973.58,35.91,163.45,1810.13,45000
2026-01-04,4,58,west,Brazil,developing,Team B,Penny,341,340,231,187,153,110,91,7,26,2,10,515.24,2080.86,28.5,109.95,1970.91,45000
2026-01-04,4,58,west,Brazil,developing,Team C,Quinn,419,415,253,196,172,124,96,8,33,2,10,591.41,2452.35,13.32,159.63,2292.72,45000
2026-01-04,4,58,west,Brazil,developing,Team C,Ruby,480,478,358,273,228,168,130,13,44,4,16,578.54,3269.2,63.7,176.1,3093.1,45000
2026-01-04,4,58,west,Brazil,developing,Team D,Sam,391,387,259,225,191,142,115,10,29,3,11,741.15,2624.96,83.17,225.34,2399.62,45000
2026-01-04,4,58,west,Brazil,developing,Team D,Tina,343,340,248,177,151,84,75,5,19,1,6,150.89,1199.77,5.9,39.8,1159.97,45000
2026-01-04,4,58,west,Brazil,developing,Team E,Uri,335,333,242,205,145,85,70,6,20,1,5,233.04,1206.63,27.4,99.59,1107.04,45000
2026-01-04,4,58,west,Brazil,developing,Team E,Vera,410,406,301,253,187,100,69,9,36,3,11,676.78,2148.17,38.62,134.22,2013.95,45000
2026-01-05,5,59,west,Brazil,developing,Team A,Mason,468,465,347,307,259,145,114,8,46,3,18,835.06,4515.48,33.15,318.6,4196.88,45000
2026-01-05,5,59,west,Brazil,developing,Team A,Nora,371,367,264,206,173,124,93,7,35,1,8,205.56,1854.22,13.39,144.81,1709.41,45000
2026-01-05,5,59,west,Brazil,developing,Team B,Oscar,388,383,239,203,144,97,76,8,35,3,11,759.79,2733.37,26.58,190.03,2543.34,45000
2026-01-05,5,59,west,Brazil,developing,Team B,Penny,341,339,239,207,173,92,71,6,32,1,11,210.91,2291.77,5.36,115.31,2176.46,45000
2026-01-05,5,59,west,Brazil,developing,Team C,Quinn,419,415,274,239,214,137,112,9,42,2,12,342.81,2795.16,16.09,175.72,2619.44,45000
2026-01-05,5,59,west,Brazil,developing,Team C,Ruby,480,477,302,250,204,153,118,8,52,4,20,991.18,4260.38,70.01,246.11,4014.27,45000
2026-01-05,5,59,west,Brazil,developing,Team D,Sam,391,386,274,213,188,123,83,10,39,3,14,727.63,3352.59,27.71,253.05,3099.54,45000
2026-01-05,5,59,west,Brazil,developing,Team D,Tina,343,339,205,157,121,65,57,4,23,1,7,259.86,1459.63,28.15,67.95,1391.68,45000
2026-01-05,5,59,west,Brazil,developing,Team E,Uri,335,331,203,157,136,83,53,3,23,1,6,194.57,1401.2,22.28,121.87,1279.33,45000
2026-01-05,5,59,west,Brazil,developing,Team E,Vera,410,404,278,239,185,124,92,7,43,1,12,170.13,2318.3,12.48,146.7,2171.6,45000
2026-01-06,6,60,west,Brazil,developing,Team A,Mason,468,465,299,250,189,132,115,11,57,3,21,470.3,4985.78,47.16,365.76,4620.02,45000
2026-01-06,6,60,west,Brazil,developing,Team A,Nora,371,366,249,185,135,71,47,5,40,1,9,247.25,2101.47,24.63,169.44,1932.03,45000
2026-01-06,6,60,west,Brazil,developing,Team B,Oscar,388,382,273,202,153,99,74,5,40,2,13,362.91,3096.28,41.83,231.86,2864.42,45000
2026-01-06,6,60,west,Brazil,developing,Team B,Penny,341,339,234,166,124,79,47,3,35,0,11,0.0,2291.77,0.0,115.31,2176.46,45000
2026-01-06,6,60,west,Brazil,developing,Team C,Quinn,419,415,311,262,235,130,105,9,51,4,16,822.65,3617.81,53.67,229.39,3388.42,45000
2026-01-06,6,60,west,Brazil,developing,Team C,Ruby,480,477,338,253,198,107,66,13,65,6,26,1754.53,6014.91,101.19,347.3,5667.61,45000
2026-01-06,6,60,west,Brazil,developing,Team D,Sam,391,385,279,208,145,79,56,9,48,3,17,445.7,3798.29,36.66,289.71,3508.58,45000
2026-01-06,6,60,west,Brazil,developing,Team D,Tina,343,339,215,189,143,84,55,5,28,2,9,343.3,1802.93,30.35,98.3,1704.63,45000
2026-01-06,6,60,west,Brazil,developing,Team E,Uri,335,331,220,191,149,102,69,7,30,2,8,343.63,1744.83,26.89,148.76,1596.07,45000
2026-01-06,6,60,west,Brazil,developing,Team E,Vera,410,403,300,258,193,131,96,8,51,4,16,1117.78,3436.08,93.79,240.49,3195.59,45000
2026-01-07,7,61,west,Brazil,developing,Team A,Mason,468,465,342,288,244,132,113,11,68,4,25,970.31,5956.09,30.72,396.48,5559.61,45000
2026-01-07,7,61,west,Brazil,developing,Team A,Nora,371,365,273,207,180,105,72,8,48,3,12,682.99,2784.46,15.57,185.01,2599.45,45000
2026-01-07,7,61,west,Brazil,developing,Team B,Oscar,388,381,274,205,180,111,94,9,49,3,16,869.15,3965.43,45.52,277.38,3688.05,45000
2026-01-07,7,61,west,Brazil,developing,Team B,Penny,341,338,203,162,124,91,55,8,43,3,14,425.61,2717.38,22.24,137.55,2579.83,45000
2026-01-07,7,61,west,Brazil,developing,Team C,Quinn,419,415,249,223,169,85,70,10,61,4,20,840.52,4458.33,46.74,276.13,4182.2,45000
2026-01-07,7,61,west,Brazil,developing,Team C,Ruby,480,476,351,282,246,135,100,8,73,3,29,893.06,6907.97,44.76,392.06,6515.91,45000
2026-01-07,7,61,west,Brazil,developing,Team D,Sam,391,384,233,169,128,91,79,9,57,2,19,336.78,4135.07,27.91,317.62,3817.45,45000
2026-01-07,7,61,west,Brazil,developing,Team D,Tina,343,339,211,166,147,104,81,5,33,1,10,144.51,1947.44,7.72,106.02,1841.42,45000
2026-01-07,7,61,west,Brazil,developing,Team E,Uri,335,330,245,195,165,116,69,7,37,2,10,412.31,2157.14,47.63,196.39,1960.75,45000
2026-01-07,7,61,west,Brazil,developing,Team E,Vera,410,401,278,224,162,94,68,5,56,2,18,581.89,4017.97,24.6,265.09,3752.88,45000
2026-01-08,8,62,west,Brazil,developing,Team A,Mason,468,464,283,239,169,98,70,12,80,6,31,1095.49,7051.58,115.17,511.65,6539.93,45000
2026-01-08,8,62,west,Brazil,developing,Team A,Nora,371,364,260,195,140,104,72,5,53,1,13,264.51,3048.97,7.11,192.12,2856.85,45000
2026-01-08,8,62,west,Brazil,developing,Team B,Oscar,388,381,231,191,147,97,58,5,54,2,18,458.03,4423.46,43.35,320.73,4102.73,45000
2026-01-08,8,62,west,Brazil,developing,Team B,Penny,341,338,206,174,145,80,50,7,50,1,15,163.98,2881.36,8.54,146.09,2735.27,45000
2026-01-08,8,62,west,Brazil,developing,Team C,Quinn,419,414,250,223,164,116,88,7,68,1,21,296.25,4754.58,13.38,289.51,4465.07,45000
2026-01-08,8,62,west,Brazil,developing,Team C,Ruby,480,475,324,285,235,154,100,11,84,3,32,555.23,7463.2,52.1,444.16,7019.04,45000
2026-01-08,8,62,west,Brazil,developing,Team D,Sam,391,382,235,185,149,91,67,9,66,3,22,478.73,4613.8,37.75,355.37,4258.43,45000
2026-01-08,8,62,west,Brazil,developing,Team D,Tina,343,338,242,185,142,92,82,6,39,2,12,426.66,2374.1,47.92,153.94,2220.16,45000
2026-01-08,8,62,west,Brazil,developing,Team E,Uri,335,330,201,175,148,92,82,6,43,2,12,421.91,2579.05,48.59,244.98,2334.07,45000
2026-01-08,8,62,west,Brazil,developing,Team E,Vera,410,401,261,214,175,126,92,8,64,2,20,327.46,4345.43,8.93,274.02,4071.41,45000
2026-01-09,9,63,west,Brazil,developing,Team A,Mason,468,464,281,219,189,97,79,8,88,3,34,529.91,7581.49,19.36,531.01,7050.48,45000
2026-01-09,9,63,west,Brazil,developing,Team A,Nora,371,362,245,192,149,87,55,10,63,5,18,821.02,3869.99,60.2,252.32,3617.67,45000
2026-01-09,9,63,west,Brazil,developing,Team B,Oscar,388,381,239,181,136,88,66,10,64,3,21,459.32,4882.78,46.06,366.79,4515.99,45000
